school sex age address famsize Pstatus Medu Fedu Mjob Fjob reason guardian traveltime studytime failures schoolsup famsup paid activities nursery higher internet romantic famrel freetime goout Dalc Walc health absences FailHigh alcSudyTime parentsEdu G1 G2 G3 GC1 GC2 GC3
GP F 18 U GT3 A 4 4 at_home teacher course mother 2 2 0 yes no no no yes yes no no 4 3 4 1 1 3 4 3,16494845360825 2,50375939849624 3,04123711340206 0 0,55 0,55 fail sufficient sufficient
GP F 17 U GT3 T 1 1 at_home other course father 1 2 0 no yes no no no yes yes no 5 3 3 1 1 3 2 2,44329896907217 1,50125313283208 2,86082474226804 0,45 0,55 0,55 fail sufficient sufficient
GP F 15 U LE3 T 1 1 at_home other other mother 1 2 0 yes no no no yes yes yes no 4 3 2 2 3 3 6 2 4,50375939849624 2,75 0,6 0,65 0,6 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 4 2 health services home mother 1 3 0 no yes no yes yes yes yes yes 3 2 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,7 0,7 0,7 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 3 3 other other home father 1 2 0 no yes no no yes yes no no 4 3 2 1 2 5 0 1,72164948453608 0,99749373433584 4,18041237113402 0,55 0,65 0,65 sufficient satisfactory satisfactory
GP M 16 U LE3 T 4 3 services other reputation mother 1 2 0 no yes no yes yes yes yes no 5 4 2 1 2 5 6 1,72164948453608 4,00501253132832 4,18041237113402 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP M 16 U LE3 T 2 2 other other home mother 1 2 0 no no no no yes yes yes no 4 4 4 1 1 3 0 3,16494845360825 0,49874686716792 3,04123711340206 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 A 4 4 other teacher home mother 2 2 0 yes yes no no yes yes no no 4 1 4 1 1 1 2 3,16494845360825 1,50125313283208 1,54123711340206 0,5 0,65 0,65 fail satisfactory satisfactory
GP M 15 U LE3 A 3 2 services other home mother 1 2 0 no yes no no yes yes yes no 4 2 2 1 1 1 0 1,72164948453608 0,49874686716792 1,18041237113402 0,75 0,8 0,85 good good good
GP M 15 U GT3 T 3 4 other other home mother 1 2 0 no yes no yes yes yes yes no 5 5 1 1 1 5 0 1 0,49874686716792 4 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 4 4 teacher health reputation mother 1 2 0 no yes no no yes yes yes no 3 3 3 1 2 2 2 2,44329896907217 2 2,11082474226804 0,7 0,7 0,7 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 2 1 services other reputation father 3 3 0 no yes no yes yes yes yes no 5 2 2 1 1 4 0 1,72164948453608 0,49874686716792 3,43041237113402 0,5 0,6 0,65 fail satisfactory satisfactory
GP M 15 U LE3 T 4 4 health services course father 1 1 0 no yes no yes yes yes yes no 4 3 3 1 3 5 0 2,44329896907217 1,49624060150376 4,36082474226804 0,6 0,65 0,6 satisfactory satisfactory satisfactory
GP M 15 U GT3 T 4 3 teacher other course mother 2 2 0 no yes no no yes yes yes no 5 4 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP M 15 U GT3 A 2 2 other other home other 1 3 0 no yes no no yes yes yes yes 4 5 2 1 1 3 0 1,72164948453608 0,49874686716792 2,68041237113402 0,7 0,7 0,75 satisfactory satisfactory good
GP F 16 U GT3 T 4 4 health other home mother 1 1 0 no yes no no yes yes yes no 4 4 4 1 2 2 6 3,16494845360825 4,00501253132832 2,29123711340206 0,85 0,85 0,85 good good good
GP F 16 U GT3 T 4 4 services services reputation mother 1 3 0 no yes no yes yes yes yes no 3 2 3 1 2 2 10 2,44329896907217 6,01002506265664 2,11082474226804 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 3 3 other other reputation mother 3 2 0 yes yes no yes yes yes no no 5 3 2 1 1 4 2 1,72164948453608 1,50125313283208 3,43041237113402 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 3 2 services services course mother 1 1 3 no yes yes yes yes yes yes no 5 5 5 2 4 5 2 4,16494845360825 2,99749373433584 4,79123711340206 0,4 0,4 0,35 fail fail fail
GP M 16 U LE3 T 4 3 health other home father 1 1 0 no no no yes yes yes yes no 3 1 3 1 3 5 6 2,44329896907217 4,50375939849624 4,36082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP M 15 U GT3 T 4 3 teacher other reputation mother 1 2 0 no no no no yes yes yes no 4 4 1 1 1 1 0 1 0,49874686716792 1 0,6 0,65 0,7 satisfactory satisfactory satisfactory
